FromNode,ToNode,LineType
Switzerland,Austria,HVAC_OverheadLine
CzechR,Austria,HVAC_OverheadLine
Germany,Austria,HVAC_OverheadLine
Hungary,Austria,HVAC_OverheadLine
Italy,Austria,HVAC_OverheadLine
Slovenia,Austria,HVAC_OverheadLine
Croatia,BosniaH,HVAC_OverheadLine
Serbia,BosniaH,HVAC_OverheadLine
France,Belgium,HVAC_OverheadLine
Luxemb.,Belgium,HVAC_OverheadLine
Netherlands,Belgium,HVAC_OverheadLine
Greece,Bulgaria,HVAC_OverheadLine
Macedonia,Bulgaria,HVAC_OverheadLine
Romania,Bulgaria,HVAC_OverheadLine
Serbia,Bulgaria,HVAC_OverheadLine
Germany,Switzerland,HVAC_OverheadLine
France,Switzerland,HVAC_OverheadLine
Italy,Switzerland,HVAC_OverheadLine
Germany,CzechR,HVAC_OverheadLine
Poland,CzechR,HVAC_OverheadLine
Slovakia,CzechR,HVAC_OverheadLine
Denmark,Germany,HVAC_OverheadLine
France,Germany,HVAC_OverheadLine
Luxemb.,Germany,HVAC_OverheadLine
Netherlands,Germany,HVAC_OverheadLine
NO2,Germany,HVDC_Cable
Poland,Germany,HVAC_OverheadLine
Sweden,Germany,HVDC_Cable
NO2,Denmark,HVDC_Cable
Sweden,Denmark,HVDC_Cable
Finland,Estonia,HVDC_Cable
Latvia,Estonia,HVAC_OverheadLine
France,Spain,HVAC_OverheadLine
Portugal,Spain,HVAC_OverheadLine
NO4,Finland,HVAC_OverheadLine
Sweden,Finland,HVDC_Cable
GreatBrit.,France,HVDC_Cable
Italy,France,HVAC_OverheadLine
Ireland,GreatBrit.,HVDC_Cable
Italy,Greece,HVDC_Cable
Macedonia,Greece,HVAC_OverheadLine
Hungary,Croatia,HVAC_OverheadLine
Serbia,Croatia,HVAC_OverheadLine
Slovenia,Croatia,HVAC_OverheadLine
Romania,Hungary,HVAC_OverheadLine
Serbia,Hungary,HVAC_OverheadLine
Slovakia,Hungary,HVAC_OverheadLine
Slovenia,Italy,HVAC_OverheadLine
Latvia,Lithuania,HVAC_OverheadLine
Serbia,Macedonia,HVAC_OverheadLine
NO2,Netherlands,HVDC_Cable
Sweden,NO1,HVAC_OverheadLine
Sweden,Poland,HVDC_Cable
Slovakia,Poland,HVAC_OverheadLine
Serbia,Romania,HVAC_OverheadLine
GreatBrit.,Belgium,HVDC_Cable
Netherlands,GreatBrit.,HVDC_Cable
NO2,GreatBrit.,HVDC_Cable
NO5,GreatBrit.,HVDC_Cable
Sweden,Lithuania,HVDC_Cable
Netherlands,Denmark,HVDC_Cable
Poland,Lithuania,HVAC_OverheadLine
GreatBrit.,Denmark,HVDC_Cable
Italy,BosniaH,HVDC_Cable
Italy,Croatia,HVDC_Cable
Slovakia,Austria,HVAC_OverheadLine
Germany,Belgium,HVAC_OverheadLine
Poland,Denmark,HVDC_Cable
Sweden,Estonia,HVDC_Cable
Ireland,Spain,HVDC_Cable
Ireland,France,HVDC_Cable
Luxemb.,France,HVAC_OverheadLine
Slovenia,Hungary,HVAC_OverheadLine
Sweden,Latvia,HVDC_Cable
NO2,NO1,HVAC_OverheadLine
NO3,NO1,HVAC_OverheadLine
NO5,NO1,HVAC_OverheadLine
NO5,NO2,HVAC_OverheadLine
NO4,NO3,HVAC_OverheadLine
NO5,NO3,HVAC_OverheadLine
Sweden,NO3,HVAC_OverheadLine
Sweden,NO4,HVAC_OverheadLine
Austria,Switzerland,HVAC_OverheadLine
Austria,CzechR,HVAC_OverheadLine
Austria,Germany,HVAC_OverheadLine
Austria,Hungary,HVAC_OverheadLine
Austria,Italy,HVAC_OverheadLine
Austria,Slovenia,HVAC_OverheadLine
BosniaH,Croatia,HVAC_OverheadLine
BosniaH,Serbia,HVAC_OverheadLine
Belgium,France,HVAC_OverheadLine
Belgium,Luxemb.,HVAC_OverheadLine
Belgium,Netherlands,HVAC_OverheadLine
Bulgaria,Greece,HVAC_OverheadLine
